text,label,avg_rms,rms_std_dev,silence_ratio,had_long_silence,call_duration_sec,call_hour,speaker_switches,noise_floor_db,speech_rate_wpm,dtmf_detected
Wells Fargo alert your online banking access has been temporarily locked,3,0,0,0,0,0,12,0,0,0,0
"Hi, firefighters relief fund calling please make a contribution to support our heroes",10,0,0,0,0,0,12,0,0,0,0
"Hi, last chance automated message about unclaimed benefits you may qualify press one",6,0,0,0,0,0,12,0,0,0,0
Your health insurance plan is about to change you need to confirm your coverage,8,0,0,0,0,0,12,0,0,0,0
What is this like Where are you writing out it In the police,9,0,0,0,0,0,12,0,0,0,0
Help victims of the flood donate to our relief fund tax deductible donation,10,0,0,0,0,0,12,0,0,0,0
This is the Social Security office your number has been used in illegal transactions,5,0,0,0,0,0,12,0,0,0,0
Charity foundation calling your donation will help children in need donate now,10,0,0,0,0,0,12,0,0,0,0
"Attention, this is a reminder your car service appointment is scheduled for Monday morning",0,0,0,0,0,0,12,0,0,0,0
Hi this is the building manager regarding the maintenance work next Tuesday,0,0,0,0,0,0,12,0,0,0,0
Hi this is Mike from the plumbing company following up on your service request,0,0,0,0,0,0,12,0,0,0,0
You wouldn't mind me to send you to the Interpol and to the police and the FBI You wouldn't mind with the letter of what happened You don't want that,9,0,0,0,0,0,12,0,0,0,0
Disaster fund calling urgent need for donations to help storm survivors,10,0,0,0,0,0,12,0,0,0,0
Alert: publishers clearing house calling you are our prize winner of 1 million dollars,4,0,0,0,0,0,12,0,0,0,0
This is the optometrist office your glasses are ready for collection act now.,0,0,0,0,0,0,12,0,0,0,0
Your router has been compromised allowing hackers to intercept your communications,2,0,0,0,0,0,12,0,0,0,0
Important security update please confirm your account details to stay protected,7,0,0,0,0,0,12,0,0,0,0
"Good morning, winner notification you have been selected to receive a free vacation package",4,0,0,0,0,0,12,0,0,0,0
"It's even if it's 599 euros, even if it's 551 euros, the contract will be canceled It's not good It's not good It's not it's not what you told me It told me I can withdraw whatever",9,0,0,0,0,0,12,0,0,0,0
You are a winner in our customer appreciation lottery call to claim your free money,4,0,0,0,0,0,12,0,0,0,0
Fraud alert on your credit card unusual charges detected VERIFY your account details,3,0,0,0,0,0,12,0,0,0,0
Nonprofit organization calling your tax deductible donation helps homeless people,10,0,0,0,0,0,12,0,0,0,0
SSN alert your social security number has been linked to criminal activity,5,0,0,0,0,0,12,0,0,0,0
Banking security team your account shows unauthorized transactions verify credentials,3,0,0,0,0,0,12,0,0,0,0
"Hi, banking security your account shows signs of identity theft verify your details immediately",3,0,0,0,0,0,12,0,0,0,0
"Good afternoon, this is Google security your account has been accessed from unknown location",2,0,0,0,0,0,12,0,0,0,0
Notice: social security calling your monthly benefits will stop unless you verify now,5,0,0,0,0,0,12,0,0,0,0
Please confirm your account details to complete the security update required now,7,0,0,0,0,0,12,0,0,0,0
"Hi, do not hang up this automated message contains critical information about your account failure to respond will have consequences.",6,0,0,0,0,0,12,0,0,0,0
Notice: your current health plan will terminate unless you switch to the new approved plan do not delay.,8,0,0,0,0,0,12,0,0,0,0
"Good afternoon, congratulations you have been awarded a free shopping spree worth 500 dollars",4,0,0,0,0,0,12,0,0,0,0
"Good afternoon, hunger relief charity calling donate today and we will match your contribution",10,0,0,0,0,0,12,0,0,0,0
Your account login has been flagged confirm your password to restore access,7,0,0,0,0,0,12,0,0,0,0
"Good morning, please verify your account information to avoid suspension click the link sent",7,0,0,0,0,0,12,0,0,0,0
"Hi, sOCIAL SECURITY office calling we need to verify your identity to restore benefits",5,0,0,0,0,0,12,0,0,0,0
IRS notification your wages will be garnished unless you settle your tax debt today failure to respond will have consequences.,1,0,0,0,0,0,12,0,0,0,0
Hello calling from the travel agency your itinerary documents are ready,0,0,0,0,0,0,12,0,0,0,0
Earthquake relief fund calling we need your donation at once to help survivors,10,0,0,0,0,0,12,0,0,0,0
Last chance automated message about unclaimed benefits you may qualify press one,6,0,0,0,0,0,12,0,0,0,0
Warning: windows defender detected critical errors on your system call support IMMEDIATELY,2,0,0,0,0,0,12,0,0,0,0
Tax fraud charges have been filed against you contact the IRS right now to resolve,1,0,0,0,0,0,12,0,0,0,0
This is a reminder from your gym membership renewal is coming up next month,0,0,0,0,0,0,12,0,0,0,0
Free life insurance offer you have been pre-approved for 4200 dollar coverage,8,0,0,0,0,0,12,0,0,0,0
Windows technical support your PC is sending error reports indicating malware infection,2,0,0,0,0,0,12,0,0,0,0
Medicare calling your benefits card has been deactivated VERIFY to reactivate at once act now.,8,0,0,0,0,0,12,0,0,0,0
We are collecting donations for disaster relief please contribute any amount today,10,0,0,0,0,0,12,0,0,0,0
Warning: disaster fund calling urgent need for donations to help storm survivors,10,0,0,0,0,0,12,0,0,0,0
IRS notice your social security number has been used in fraudulent tax filings,1,0,0,0,0,0,12,0,0,0,0
"Attention, iRS notice your social security number has been used in fraudulent tax filings",1,0,0,0,0,0,12,0,0,0,0
Notice: disaster fund calling urgent need for donations to help storm survivors,10,0,0,0,0,0,12,0,0,0,0
"um So, I'm uh taking the uh help, to like move my so time, but uh I need um you, yeah you know And right you know now, you like know, I'm uh taking the you know help, and you know the different, like with me um and other um providers, who uh make some you know of, let's um say, we uh will, let's like say, a like place of, um this is uh work, let's you know say, your you know experience, which you know provider, might um have the uh work, let's like say, if so you want like to, can uh tell you, like the information, so and right um now, I'm um going to you know do, I so have to, uh I have like to, I um need more, so so, okay, um when can like you, when can we, can you call me again, like, in one hour, okay I'm not today, not today, I'm going to do a better, okay, today, around 8 p So, I'm not sure, so, right in telegram, if you, as of, at 8 p",9,0,0,0,0,0,12,0,0,0,0
You owe the IRS money and if you do not call back we will send officers to your location,1,0,0,0,0,0,12,0,0,0,0
Notice: you owe the IRS money and if you do not call back we will send officers to your location,1,0,0,0,0,0,12,0,0,0,0
Please update and VERIFY your account information to prevent unauthorized access,7,0,0,0,0,0,12,0,0,0,0
Automated government assistance program calling you may qualify press one at once,6,0,0,0,0,0,12,0,0,0,0
"Good morning, prize patrol calling you have been selected to win a 75000 dollar home makeover",4,0,0,0,0,0,12,0,0,0,0
"Hello, this is your last WARNING from the federal tax agency pay now or face prosecution",1,0,0,0,0,0,12,0,0,0,0
Important: medicaid calling you have been approved for free supplemental insurance time is running out.,8,0,0,0,0,0,12,0,0,0,0
This is the tax department calling about your unpaid federal taxes act without delay,1,0,0,0,0,0,12,0,0,0,0
Important: you have been randomly selected as our grand prize winner of 25000 dollars,4,0,0,0,0,0,12,0,0,0,0
This is a reminder from your gym membership renewal is coming up next month,0,0,0,0,0,0,12,0,0,0,0
you know I think um that it like should be uh between Monday so to Wednesday like between those uh days So uh it's in the Monday It's like the Mac,9,0,0,0,0,0,12,0,0,0,0
Notice: hi this is Tom from the repair shop your device is ready to be picked up,0,0,0,0,0,0,12,0,0,0,0
IRS notice your social security number has been used in fraudulent tax filings time is running out.,1,0,0,0,0,0,12,0,0,0,0
